AREACD,P50
E01011950,30475
E01011949,77500
E01011951,49000
E01011953,50000
E01011954,94500
E01011952,57000
E01011955,76750
E01033466,62750
E01011957,65250
E01032540,110000
E01011959,260382
E01011961,107000
E01011962,127000
E01011963,133000
E01011960,143000
E01011967,120500
E01011965,212500
E01011966,144500
E01011964,145000
E01011968,130498
E01011970,121000
E01011969,125000
E01011971,155000
E01033465,169950
E01033467,140000
E01011973,29005
E01011975,37750
E01011976,44000
E01011974,85000
E01011979,
E01011977,88000
E01011978,69750
E01011983,305000
E01011980,80000
E01011981,78000
E01011982,284995
E01011985,110000
E01011986,116000
E01011984,120000
E01011987,72000
E01011989,85500
E01011988,93125
E01011990,96250
E01011994,68000
E01011992,132950
E01011993,84500
E01011991,87000
E01011995,145000
E01011998,142475
E01011996,105000
E01011997,143000
E01012001,92750
E01012000,
E01011999,45500
E01032541,88000
E01012002,92000
E01012005,218000
E01012003,284995
E01012008,140000
E01012010,168500
E01012007,130000
E01012009,135500
E01012012,120000
E01012011,100000
E01012014,66000
E01012013,111370
E01012017,102500
E01012016,77500
E01012015,70000
E01012020,81250
E01012018,113498
E01012019,
E01012021,69750
E01012025,133500
E01012022,205495
E01012023,159000
E01012024,142000
E01033469,101000
E01012026,149950
E01012027,98750
E01012030,142750
E01012033,120000
E01012035,116250
E01012032,172500
E01012034,197000
E01012031,105000
E01012038,53000
E01012036,50000
E01012041,
E01012037,52000
E01012039,49500
E01012040,45500
E01012043,114000
E01012042,118500
E01012044,
E01012045,
E01012048,137500
E01012047,143000
E01012046,154450
E01012050,70000
E01012051,84000
E01012052,182500
E01012049,128500
E01012053,152000
E01012054,119500
E01012055,156000
E01012056,83750
E01012057,88000
E01012059,37000
E01012061,
E01012058,37000
E01012060,57500
E01012062,214995
E01012063,135000
E01012064,135000
E01012066,185000
E01012065,216000
E01012067,177500
E01012068,45000
E01033468,56000
E01012073,165000
E01032593,348000
E01012071,235000
E01012074,77500
E01012075,58000
E01012077,
E01012076,52500
E01012078,72500
E01012079,106500
E01012081,124975
E01012080,99000
E01012084,
E01012082,78500
E01012083,63500
E01012085,64000
E01032552,120000
E01032553,199950
E01012090,
E01012091,60000
E01012089,60000
E01012088,107995
E01012094,78000
E01012092,51925
E01012093,49000
E01012096,42000
E01012097,
E01012095,164000
E01012098,125000
E01012099,41000
E01012100,112000
E01012101,85000
E01012102,72500
E01012105,123500
E01012106,98475
E01012107,88000
E01032560,149000
E01032561,62500
E01012110,105000
E01012111,77500
E01012109,97750
E01012108,85000
E01012112,45000
E01012114,
E01033471,63000
E01012113,50000
E01012121,89500
E01012118,90000
E01012117,189950
E01012120,137500
E01012119,114000
E01032549,189950
E01032548,210000
E01012124,241250
E01033472,129000
E01012128,87500
E01012127,
E01012130,127650
E01012129,146000
E01012131,72950
E01012132,110000
E01012134,140000
E01012136,90500
E01033473,62000
E01012137,109400
E01012140,135000
E01012141,136000
